Date,Year,Month,State,Sales Method,Product,Gender,Type,SubType,Price per Unit,Units Sold,Revenue
2020-01-26,2020,January,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,85,125,10625
2020-01-27,2020,January,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,60,10,600
2020-01-27,2020,January,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,108,52,5616
2020-01-27,2020,January,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,39,25,975
2020-01-27,2020,January,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,67,126,8442
2020-01-28,2020,January,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,63,12,756
2020-01-28,2020,January,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,114,53,6042
2020-01-28,2020,January,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,43,22,946
2020-01-28,2020,January,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,76,104,7904
2020-01-29,2020,January,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,57,9,513
2020-01-29,2020,January,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,107,41,4387
2020-01-29,2020,January,New York,Online,Men's Apparel,Men,Apparel,Apparel,59,23,1357
2020-01-29,2020,January,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,103,114,11742
2020-01-30,2020,January,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,60,6,360
2020-01-30,2020,January,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,108,27,2916
2020-01-30,2020,January,New York,Online,Women's Apparel,Women,Apparel,Apparel,45,24,1080
2020-01-30,2020,January,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,86,127,10922
2020-01-31,2020,January,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,78,13,1014
2020-01-31,2020,January,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,134,59,7906
2020-01-31,2020,January,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,45,30,1350
2020-01-31,2020,January,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,83,157,13031
2020-02-01,2020,February,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,56,19,1064
2020-02-01,2020,February,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,107,95,10165
2020-02-01,2020,February,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,47,23,1081
2020-02-01,2020,February,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,85,122,10370
2020-02-02,2020,February,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,62,17,1054
2020-02-02,2020,February,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,116,73,8468
2020-02-02,2020,February,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,39,25,975
2020-02-02,2020,February,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,68,122,8296
2020-02-03,2020,February,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,62,17,1054
2020-02-03,2020,February,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,111,73,8103
2020-02-03,2020,February,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,41,24,984
2020-02-03,2020,February,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,76,112,8512
2020-02-04,2020,February,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,58,11,638
2020-02-04,2020,February,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,107,58,6206
2020-02-04,2020,February,New York,Online,Men's Apparel,Men,Apparel,Apparel,56,22,1232
2020-02-04,2020,February,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,104,111,11544
2020-02-05,2020,February,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,59,8,472
2020-02-05,2020,February,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,112,41,4592
2020-02-05,2020,February,New York,Online,Women's Apparel,Women,Apparel,Apparel,49,24,1176
2020-02-05,2020,February,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,89,128,11392
2020-02-06,2020,February,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,73,17,1241
2020-02-06,2020,February,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,137,79,10823
2020-02-06,2020,February,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,54,32,1728
2020-02-06,2020,February,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,104,159,16536
2020-02-07,2020,February,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,58,22,1276
2020-02-07,2020,February,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,108,98,10584
2020-02-07,2020,February,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,50,26,1300
2020-02-07,2020,February,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,92,123,11316
2020-02-08,2020,February,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,61,17,1037
2020-02-08,2020,February,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,111,80,8880
2020-02-08,2020,February,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,46,26,1196
2020-02-08,2020,February,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,86,119,10234
2020-02-09,2020,February,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,65,55,3575
2020-02-09,2020,February,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,61,14,854
2020-02-09,2020,February,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,47,17,799
2020-02-09,2020,February,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,46,23,1058
2020-02-09,2020,February,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,83,114,9462
2020-02-10,2020,February,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,60,45,2700
2020-02-10,2020,February,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,55,12,660
2020-02-10,2020,February,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,46,14,644
2020-02-10,2020,February,New York,Online,Men's Apparel,Men,Apparel,Apparel,59,25,1475
2020-02-10,2020,February,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,107,116,12412
2020-02-11,2020,February,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,65,50,3250
2020-02-11,2020,February,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,60,13,780
2020-02-11,2020,February,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,47,15,705
2020-02-12,2020,February,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,80,50,4000
2020-02-12,2020,February,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,78,15,1170
2020-02-12,2020,February,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,61,17,1037
2020-02-13,2020,February,Nevada,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,65,70,4550
2020-02-13,2020,February,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,62,21,1302
2020-02-13,2020,February,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,44,24,1056
2020-02-14,2020,February,Nevada,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,70,65,4550
2020-02-14,2020,February,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,64,18,1152
2020-02-14,2020,February,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,56,21,1176
2020-02-15,2020,February,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,65,53,3445
2020-02-15,2020,February,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,60,15,900
2020-02-15,2020,February,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,44,18,792
2020-02-16,2020,February,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,65,48,3120
2020-02-16,2020,February,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,64,12,768
2020-02-16,2020,February,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,42,15,630
2020-02-17,2020,February,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,75,48,3600
2020-02-17,2020,February,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,68,14,952
2020-02-17,2020,February,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,50,15,750
2020-02-18,2020,February,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,80,40,3200
2020-02-18,2020,February,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,78,11,858
2020-02-18,2020,February,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,55,13,715
2020-02-19,2020,February,Nevada,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,60,60,3600
2020-02-19,2020,February,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,56,17,952
2020-02-19,2020,February,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,41,19,779
2020-02-20,2020,February,Nevada,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,65,60,3900
2020-02-20,2020,February,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,61,16,976
2020-02-20,2020,February,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,51,18,918
2020-02-21,2020,February,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,60,45,2700
2020-02-21,2020,February,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,57,12,684
2020-02-21,2020,February,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,46,14,644
2020-02-22,2020,February,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,60,40,2400
2020-02-22,2020,February,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,58,11,638
2020-02-22,2020,February,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,43,12,516
2020-02-23,2020,February,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,70,40,2800
2020-02-23,2020,February,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,67,12,804
2020-02-23,2020,February,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,53,13,689
2020-02-24,2020,February,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,75,45,3375
2020-02-24,2020,February,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,74,11,814
2020-02-24,2020,February,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,54,14,756
2020-02-25,2020,February,Nevada,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,60,55,3300
2020-02-25,2020,February,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,56,14,784
2020-02-25,2020,February,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,47,17,799
2020-02-26,2020,February,Nevada,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,65,55,3575
2020-02-26,2020,February,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,59,17,1003
2020-02-26,2020,February,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,50,19,950
2020-02-27,2020,February,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,60,38,2280
2020-02-27,2020,February,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,54,11,594
2020-02-27,2020,February,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,47,11,517
2020-02-28,2020,February,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,60,35,2100
2020-02-28,2020,February,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,54,11,594
2020-02-28,2020,February,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,43,12,516
2020-03-01,2020,March,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,70,33,2310
2020-03-01,2020,March,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,63,8,504
2020-03-01,2020,March,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,48,11,528
2020-03-02,2020,March,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,75,38,2850
2020-03-02,2020,March,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,68,9,612
2020-03-02,2020,March,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,53,12,636
2020-03-03,2020,March,Nevada,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,60,58,3480
2020-03-03,2020,March,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,57,16,912
2020-03-03,2020,March,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,47,20,940
2020-03-03,2020,March,New York,Online,Women's Apparel,Women,Apparel,Apparel,59,29,1711
2020-03-03,2020,March,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,109,132,14388
2020-03-04,2020,March,Nevada,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,65,58,3770
2020-03-04,2020,March,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,64,15,960
2020-03-04,2020,March,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,52,20,1040
2020-03-04,2020,March,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,55,31,1705
2020-03-04,2020,March,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,107,165,17655
2020-03-05,2020,March,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,60,43,2580
2020-03-05,2020,March,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,55,11,605
2020-03-05,2020,March,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,44,14,616
2020-03-05,2020,March,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,54,27,1458
2020-03-05,2020,March,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,96,134,12864
2020-03-06,2020,March,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,60,40,2400
2020-03-06,2020,March,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,56,11,616
2020-03-06,2020,March,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,43,13,559
2020-03-06,2020,March,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,46,28,1288
2020-03-06,2020,March,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,87,123,10701
2020-03-07,2020,March,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,70,35,2450
2020-03-07,2020,March,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,64,9,576
2020-03-07,2020,March,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,46,12,552
2020-03-07,2020,March,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,47,26,1222
2020-03-07,2020,March,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,88,120,10560
2020-03-08,2020,March,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,75,48,3600
2020-03-08,2020,March,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,68,13,884
2020-03-08,2020,March,Nevada,Outlet,Women's Apparel,Women,Apparel,Apparel,51,16,816
2020-03-08,2020,March,New York,Online,Men's Apparel,Men,Apparel,Apparel,55,25,1375
2020-03-08,2020,March,New York,Outlet,Men's Apparel,Men,Apparel,Apparel,105,119,12495
2020-03-09,2020,March,Nevada,In-store,Men's Street Footwear,Men,Footwear,Street Footwear,60,68,4080
2020-03-09,2020,March,Nevada,Online,Men's Street Footwear,Men,Footwear,Street Footwear,58,20,1160
2020-03-09,2020,March,Nevada,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,47,22,1034
2020-03-09,2020,March,New York,Online,Women's Apparel,Women,Apparel,Apparel,64,31,1984
2020-03-09,2020,March,New York,Outlet,Women's Apparel,Women,Apparel,Apparel,111,140,15540
2020-03-10,2020,March,Nevada,In-store,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,65,68,4420
2020-03-10,2020,March,Nevada,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,62,19,1178
2020-03-10,2020,March,Nevada,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,50,21,1050
2020-03-10,2020,March,New York,Online,Men's Street Footwear,Men,Footwear,Street Footwear,59,32,1888
2020-03-10,2020,March,New York,Outlet,Men's Street Footwear,Men,Footwear,Street Footwear,104,171,17784
2020-03-11,2020,March,Nevada,In-store,Women's Street Footwear,Women,Footwear,Street Footwear,60,48,2880
2020-03-11,2020,March,Nevada,Online,Women's Street Footwear,Women,Footwear,Street Footwear,59,12,708
2020-03-11,2020,March,Nevada,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,47,17,799
2020-03-11,2020,March,New York,Online,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,53,27,1431
2020-03-11,2020,March,New York,Outlet,Men's Athletic Footwear,Men,Footwear,Athletic Footwear,96,135,12960
2020-03-12,2020,March,Nevada,In-store,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,60,48,2880
2020-03-12,2020,March,Nevada,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,57,13,741
2020-03-12,2020,March,Nevada,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,40,17,680
2020-03-12,2020,March,New York,Online,Women's Street Footwear,Women,Footwear,Street Footwear,46,25,1150
2020-03-12,2020,March,New York,Outlet,Women's Street Footwear,Women,Footwear,Street Footwear,85,125,10625
2020-03-13,2020,March,Nevada,In-store,Men's Apparel,Men,Apparel,Apparel,70,40,2800
2020-03-13,2020,March,Nevada,Online,Men's Apparel,Men,Apparel,Apparel,69,11,759
2020-03-13,2020,March,Nevada,Outlet,Men's Apparel,Men,Apparel,Apparel,49,14,686
2020-03-13,2020,March,New York,Online,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,46,24,1104
2020-03-13,2020,March,New York,Outlet,Women's Athletic Footwear,Women,Footwear,Athletic Footwear,85,117,9945
2020-03-14,2020,March,Nevada,In-store,Women's Apparel,Women,Apparel,Apparel,75,50,3750
2020-03-14,2020,March,Nevada,Online,Women's Apparel,Women,Apparel,Apparel,74,15,1110
