Date,State,Sales Method,Product,Price per Unit,Units Sold
2020-04-22,Colorado,In-store,Women's Street Footwear,70,58
2020-04-22,Colorado,Online,Women's Street Footwear,67,16
2020-04-22,New York,Online,Women's Athletic Footwear,47,25
2020-04-22,New York,Outlet,Women's Athletic Footwear,84,121
2020-04-23,Colorado,In-store,Women's Athletic Footwear,65,48
2020-04-23,Colorado,Online,Women's Athletic Footwear,61,14
2020-04-23,New York,Online,Men's Apparel,58,25
2020-04-23,New York,Outlet,Men's Apparel,104,122
2020-04-24,Colorado,In-store,Men's Apparel,70,53
2020-04-24,Colorado,Online,Men's Apparel,67,13
2020-04-24,Florida,In-store,Men's Apparel,115,141
2020-04-24,Florida,In-store,Men's Athletic Footwear,155,234
2020-04-24,Florida,In-store,Men's Street Footwear,160,318
2020-04-24,Florida,In-store,Women's Apparel,110,163
2020-04-24,Florida,In-store,Women's Athletic Footwear,90,135
2020-04-24,Florida,In-store,Women's Street Footwear,85,148
2020-04-24,Florida,Online,Men's Apparel,110,40
2020-04-24,Florida,Online,Men's Athletic Footwear,149,61
2020-04-24,Florida,Online,Men's Street Footwear,149,85
2020-04-24,Florida,Online,Women's Apparel,108,46
2020-04-24,Florida,Online,Women's Athletic Footwear,87,37
2020-04-24,Florida,Online,Women's Street Footwear,79,39
2020-04-24,New York,Online,Women's Apparel,59,28
2020-04-24,New York,Outlet,Women's Apparel,110,135
2020-04-25,Colorado,In-store,Women's Apparel,85,53
2020-04-25,Colorado,Online,Women's Apparel,78,14
2020-04-25,New York,Online,Men's Apparel,64,24
2020-04-25,New York,Outlet,Men's Apparel,116,117
2020-04-26,Colorado,In-store,Men's Street Footwear,70,73
2020-04-26,Colorado,Online,Men's Street Footwear,63,20
2020-04-26,New York,Online,Women's Apparel,68,29
2020-04-26,New York,Outlet,Women's Apparel,120,133
2020-04-27,Colorado,In-store,Men's Athletic Footwear,75,68
2020-04-27,Colorado,Online,Men's Athletic Footwear,73,19
2020-04-27,New York,Online,Men's Street Footwear,60,30
2020-04-27,New York,Outlet,Men's Street Footwear,111,155
2020-04-28,Colorado,In-store,Women's Street Footwear,70,55
2020-04-28,Colorado,Online,Women's Street Footwear,67,14
2020-04-28,New York,Online,Men's Athletic Footwear,53,27
2020-04-28,New York,Outlet,Men's Athletic Footwear,95,129
2020-04-29,Colorado,In-store,Women's Athletic Footwear,70,50
2020-04-29,Colorado,Online,Women's Athletic Footwear,63,14
2020-04-29,New York,Online,Women's Street Footwear,52,26
2020-04-29,New York,Outlet,Women's Street Footwear,98,121
2020-04-30,Colorado,In-store,Men's Apparel,75,50
2020-04-30,Colorado,Online,Men's Apparel,74,14
2020-04-30,New York,Online,Women's Athletic Footwear,50,25
2020-04-30,New York,Outlet,Women's Athletic Footwear,96,117
2020-05-01,Colorado,In-store,Women's Apparel,80,40
2020-05-01,Colorado,Online,Women's Apparel,74,10
2020-05-01,New York,Online,Men's Apparel,64,25
2020-05-01,New York,Outlet,Men's Apparel,112,116
2020-05-02,Colorado,In-store,Men's Street Footwear,65,60
2020-05-02,Colorado,Online,Men's Street Footwear,59,16
2020-05-02,New York,Online,Women's Apparel,66,26
2020-05-02,New York,Outlet,Women's Apparel,123,130
2020-05-03,Colorado,In-store,Men's Athletic Footwear,70,60
2020-05-03,Colorado,Online,Men's Athletic Footwear,69,17
2020-05-03,New York,Online,Men's Street Footwear,62,31
2020-05-03,New York,Outlet,Men's Street Footwear,113,162
2020-05-04,Colorado,In-store,Women's Street Footwear,65,45
2020-05-04,Colorado,Online,Women's Street Footwear,60,11
2020-05-04,New York,Online,Men's Athletic Footwear,51,30
2020-05-04,New York,Outlet,Men's Athletic Footwear,98,131
2020-05-05,Colorado,In-store,Women's Athletic Footwear,65,40
2020-05-05,Colorado,Online,Women's Athletic Footwear,59,10
2020-05-05,New York,Online,Women's Street Footwear,54,29
2020-05-05,New York,Outlet,Women's Street Footwear,97,128
2020-05-06,Colorado,In-store,Men's Apparel,75,40
2020-05-06,Colorado,Online,Men's Apparel,74,12
2020-05-06,New York,Online,Women's Athletic Footwear,54,23
2020-05-06,New York,Outlet,Women's Athletic Footwear,96,121
2020-05-07,Colorado,In-store,Women's Apparel,70,43
2020-05-07,Colorado,Online,Women's Apparel,65,11
2020-05-07,New York,Online,Men's Apparel,60,26
2020-05-07,New York,Outlet,Men's Apparel,113,118
2020-05-08,Colorado,In-store,Men's Street Footwear,55,53
2020-05-08,Colorado,Online,Men's Street Footwear,51,14
2020-05-09,Colorado,In-store,Men's Athletic Footwear,60,53
2020-05-09,Colorado,Online,Men's Athletic Footwear,54,15
2020-05-10,Colorado,In-store,Women's Street Footwear,55,35
2020-05-10,Colorado,Online,Women's Street Footwear,51,10
2020-05-11,Colorado,In-store,Women's Athletic Footwear,55,33
2020-05-11,Colorado,Online,Women's Athletic Footwear,53,9
2020-05-12,Colorado,In-store,Men's Apparel,65,30
2020-05-12,Colorado,Online,Men's Apparel,64,8
2020-05-13,Colorado,In-store,Women's Apparel,70,35
2020-05-13,Colorado,Online,Women's Apparel,65,11
2020-05-14,Colorado,In-store,Men's Street Footwear,55,58
2020-05-14,Colorado,Online,Men's Street Footwear,52,15
2020-05-15,Colorado,In-store,Men's Athletic Footwear,60,58
2020-05-15,Colorado,Online,Men's Athletic Footwear,55,15
2020-05-16,Colorado,In-store,Women's Street Footwear,55,43
2020-05-16,Colorado,Online,Women's Street Footwear,51,13
2020-05-17,Colorado,In-store,Women's Athletic Footwear,65,40
2020-05-17,Colorado,Online,Women's Athletic Footwear,60,12
2020-05-18,Colorado,In-store,Men's Apparel,75,38
2020-05-18,Colorado,Online,Men's Apparel,68,11
2020-05-19,Colorado,In-store,Women's Apparel,80,50
2020-05-19,Colorado,Online,Women's Apparel,73,13
2020-05-20,Colorado,In-store,Men's Street Footwear,65,70
2020-05-20,Colorado,Online,Men's Street Footwear,59,20
2020-05-21,Colorado,In-store,Men's Athletic Footwear,70,70
2020-05-21,Colorado,Online,Men's Athletic Footwear,64,18
2020-05-22,Colorado,In-store,Women's Street Footwear,65,50
2020-05-22,Colorado,Online,Women's Street Footwear,60,13
2020-05-23,Colorado,In-store,Women's Athletic Footwear,65,50
