Year,Month,State,Product,Sales Method,Price per Unit,Units Sold
2021,Apr,Connecticut,Women's Athletic Footwear,Outlet,26,4
2021,Apr,Connecticut,Women's Street Footwear,In-store,30,20
2021,Apr,Connecticut,Women's Street Footwear,Online,29,6
2021,Apr,Connecticut,Women's Street Footwear,Outlet,20,6
2021,Apr,Delaware,Men's Apparel,In-store,50,15
2021,Apr,Delaware,Men's Apparel,Online,47,5
2021,Apr,Delaware,Men's Athletic Footwear,In-store,40,23
2021,Apr,Delaware,Men's Athletic Footwear,Online,38,6
2021,Apr,Delaware,Men's Street Footwear,In-store,40,53
2021,Apr,Delaware,Men's Street Footwear,Online,36,13
2021,Apr,Delaware,Women's Apparel,In-store,40,30
2021,Apr,Delaware,Women's Apparel,Online,38,8
2021,Apr,Delaware,Women's Athletic Footwear,In-store,35,15
2021,Apr,Delaware,Women's Athletic Footwear,Online,32,4
2021,Apr,Delaware,Women's Street Footwear,In-store,30,23
2021,Apr,Delaware,Women's Street Footwear,Online,27,6
2021,Apr,Florida,Men's Apparel,Online,59,6
2021,Apr,Florida,Men's Apparel,Outlet,107,26
2021,Apr,Florida,Men's Athletic Footwear,Online,66,10
2021,Apr,Florida,Men's Athletic Footwear,Outlet,121,46
2021,Apr,Florida,Men's Street Footwear,Online,62,14
2021,Apr,Florida,Men's Street Footwear,Outlet,112,72
2021,Apr,Florida,Women's Apparel,Online,72,11
2021,Apr,Florida,Women's Apparel,Outlet,132,49
2021,Apr,Florida,Women's Athletic Footwear,Online,52,8
2021,Apr,Florida,Women's Athletic Footwear,Outlet,96,39
2021,Apr,Florida,Women's Street Footwear,Online,66,12
2021,Apr,Florida,Women's Street Footwear,Outlet,119,53
2021,Apr,Georgia,Men's Apparel,Online,107,23
2021,Apr,Georgia,Men's Apparel,Outlet,38,6
2021,Apr,Georgia,Men's Athletic Footwear,Online,106,42
2021,Apr,Georgia,Men's Athletic Footwear,Outlet,40,11
2021,Apr,Georgia,Men's Street Footwear,Online,95,67
2021,Apr,Georgia,Men's Street Footwear,Outlet,37,18
2021,Apr,Georgia,Women's Apparel,Online,133,46
2021,Apr,Georgia,Women's Apparel,Outlet,56,11
2021,Apr,Georgia,Women's Athletic Footwear,Online,98,35
2021,Apr,Georgia,Women's Athletic Footwear,Outlet,40,10
2021,Apr,Georgia,Women's Street Footwear,Online,105,47
2021,Apr,Georgia,Women's Street Footwear,Outlet,36,11
2021,Apr,Idaho,Men's Apparel,Online,69,35
2021,Apr,Idaho,Men's Apparel,Outlet,27,9
2021,Apr,Idaho,Men's Athletic Footwear,Online,59,85
2021,Apr,Idaho,Men's Athletic Footwear,Outlet,21,22
2021,Apr,Idaho,Men's Street Footwear,Online,39,85
2021,Apr,Idaho,Men's Street Footwear,Outlet,15,22
2021,Apr,Idaho,Women's Apparel,Online,58,69
2021,Apr,Idaho,Women's Apparel,Outlet,23,18
2021,Apr,Idaho,Women's Athletic Footwear,Online,59,49
2021,Apr,Idaho,Women's Athletic Footwear,Outlet,20,12
2021,Apr,Idaho,Women's Street Footwear,Online,49,62
2021,Apr,Idaho,Women's Street Footwear,Outlet,19,16
2021,Apr,Indiana,Men's Apparel,In-store,65,15
2021,Apr,Indiana,Men's Apparel,Online,61,5
2021,Apr,Indiana,Men's Athletic Footwear,In-store,25,20
2021,Apr,Indiana,Men's Athletic Footwear,Online,23,5
2021,Apr,Indiana,Men's Street Footwear,In-store,25,50
2021,Apr,Indiana,Men's Street Footwear,Online,23,13
2021,Apr,Indiana,Women's Apparel,In-store,50,28
2021,Apr,Indiana,Women's Apparel,Online,47,7
2021,Apr,Indiana,Women's Athletic Footwear,In-store,20,13
2021,Apr,Indiana,Women's Athletic Footwear,Online,19,4
2021,Apr,Indiana,Women's Street Footwear,In-store,15,20
2021,Apr,Indiana,Women's Street Footwear,Online,14,5
2021,Apr,Iowa,Men's Apparel,In-store,60,13
2021,Apr,Iowa,Men's Apparel,Online,55,3
2021,Apr,Iowa,Men's Athletic Footwear,In-store,20,18
2021,Apr,Iowa,Men's Athletic Footwear,Online,18,5
2021,Apr,Iowa,Men's Street Footwear,In-store,20,48
2021,Apr,Iowa,Men's Street Footwear,Online,20,12
2021,Apr,Iowa,Women's Apparel,In-store,50,25
2021,Apr,Iowa,Women's Apparel,Online,46,6
2021,Apr,Iowa,Women's Athletic Footwear,In-store,15,10
2021,Apr,Iowa,Women's Athletic Footwear,Online,15,3
2021,Apr,Iowa,Women's Street Footwear,In-store,10,18
2021,Apr,Iowa,Women's Street Footwear,Online,10,5
2021,Apr,Kansas,Men's Apparel,Online,79,19
2021,Apr,Kansas,Men's Athletic Footwear,Online,50,26
2021,Apr,Kansas,Men's Street Footwear,Online,49,65
2021,Apr,Kansas,Women's Apparel,Online,59,38
2021,Apr,Kansas,Women's Athletic Footwear,Online,39,17
2021,Apr,Kansas,Women's Street Footwear,Online,29,26
2021,Apr,Kentucky,Men's Apparel,Online,97,17
2021,Apr,Kentucky,Men's Athletic Footwear,Online,86,23
2021,Apr,Kentucky,Men's Street Footwear,Online,86,60
2021,Apr,Kentucky,Women's Apparel,Online,76,33
2021,Apr,Kentucky,Women's Athletic Footwear,Online,87,13
2021,Apr,Kentucky,Women's Street Footwear,Online,78,23
2021,Apr,Louisiana,Men's Apparel,In-store,45,18
2021,Apr,Louisiana,Men's Apparel,Online,43,5
2021,Apr,Louisiana,Men's Apparel,Outlet,34,6
2021,Apr,Louisiana,Men's Athletic Footwear,In-store,55,33
2021,Apr,Louisiana,Men's Athletic Footwear,Online,52,9
2021,Apr,Louisiana,Men's Athletic Footwear,Outlet,36,11
2021,Apr,Louisiana,Men's Street Footwear,In-store,50,53
2021,Apr,Louisiana,Men's Street Footwear,Online,48,14
2021,Apr,Louisiana,Men's Street Footwear,Outlet,38,17
2021,Apr,Louisiana,Women's Apparel,In-store,60,35
2021,Apr,Louisiana,Women's Apparel,Online,55,11
2021,Apr,Louisiana,Women's Apparel,Outlet,39,12
2021,Apr,Louisiana,Women's Athletic Footwear,In-store,40,28
2021,Apr,Louisiana,Women's Athletic Footwear,Online,39,7
2021,Apr,Louisiana,Women's Athletic Footwear,Outlet,27,9
2021,Apr,Louisiana,Women's Street Footwear,In-store,55,38
2021,Apr,Louisiana,Women's Street Footwear,Online,52,11
2021,Apr,Louisiana,Women's Street Footwear,Outlet,40,12
2021,Apr,Maryland,Men's Apparel,In-store,45,5
2021,Apr,Maryland,Men's Apparel,Online,41,2
2021,Apr,Maryland,Men's Athletic Footwear,In-store,35,13
2021,Apr,Maryland,Men's Athletic Footwear,Online,32,3
2021,Apr,Maryland,Men's Street Footwear,In-store,35,43
2021,Apr,Maryland,Men's Street Footwear,Online,33,13
2021,Apr,Maryland,Women's Apparel,In-store,35,20
2021,Apr,Maryland,Women's Apparel,Online,32,5
2021,Apr,Maryland,Women's Athletic Footwear,In-store,30,5
2021,Apr,Maryland,Women's Athletic Footwear,Online,27,1
2021,Apr,Maryland,Women's Street Footwear,In-store,25,13
2021,Apr,Maryland,Women's Street Footwear,Online,24,3
2021,Apr,Massachusetts,Men's Apparel,In-store,50,13
2021,Apr,Massachusetts,Men's Apparel,Online,49,3
2021,Apr,Massachusetts,Men's Apparel,Outlet,33,4
2021,Apr,Massachusetts,Men's Athletic Footwear,In-store,40,15
2021,Apr,Massachusetts,Men's Athletic Footwear,Online,37,5
2021,Apr,Massachusetts,Men's Athletic Footwear,Outlet,28,5
2021,Apr,Massachusetts,Men's Street Footwear,In-store,40,45
2021,Apr,Massachusetts,Men's Street Footwear,Online,38,12
2021,Apr,Massachusetts,Men's Street Footwear,Outlet,28,15
2021,Apr,Massachusetts,Women's Apparel,In-store,40,28
2021,Apr,Massachusetts,Women's Apparel,Online,39,8
2021,Apr,Massachusetts,Women's Apparel,Outlet,30,9
2021,Apr,Massachusetts,Women's Athletic Footwear,In-store,35,13
2021,Apr,Massachusetts,Women's Athletic Footwear,Online,32,4
2021,Apr,Massachusetts,Women's Athletic Footwear,Outlet,23,4
2021,Apr,Massachusetts,Women's Street Footwear,In-store,30,15
2021,Apr,Massachusetts,Women's Street Footwear,Online,29,4
2021,Apr,Massachusetts,Women's Street Footwear,Outlet,22,5
2021,Apr,Michigan,Men's Apparel,In-store,50,40
2021,Apr,Michigan,Men's Apparel,Online,45,12
2021,Apr,Michigan,Men's Athletic Footwear,In-store,40,43
2021,Apr,Michigan,Men's Athletic Footwear,Online,38,11
2021,Apr,Michigan,Men's Street Footwear,In-store,35,73
2021,Apr,Michigan,Men's Street Footwear,Online,32,18
2021,Apr,Michigan,Women's Apparel,In-store,40,53
2021,Apr,Michigan,Women's Apparel,Online,37,15
2021,Apr,Michigan,Women's Athletic Footwear,In-store,35,38
2021,Apr,Michigan,Women's Athletic Footwear,Online,32,11
2021,Apr,Michigan,Women's Street Footwear,In-store,30,45
2021,Apr,Michigan,Women's Street Footwear,Online,27,14
2021,Apr,Mississippi,Men's Apparel,Online,78,41
2021,Apr,Mississippi,Men's Apparel,Outlet,30,10
2021,Apr,Mississippi,Men's Athletic Footwear,Online,48,49
2021,Apr,Mississippi,Men's Athletic Footwear,Outlet,20,12
2021,Apr,Mississippi,Men's Street Footwear,Online,48,85
2021,Apr,Mississippi,Men's Street Footwear,Outlet,19,22
2021,Apr,Mississippi,Women's Apparel,Online,58,60
2021,Apr,Mississippi,Women's Apparel,Outlet,22,15
2021,Apr,Mississippi,Women's Athletic Footwear,Online,39,38
2021,Apr,Mississippi,Women's Athletic Footwear,Outlet,16,10
2021,Apr,Mississippi,Women's Street Footwear,Online,29,48
2021,Apr,Mississippi,Women's Street Footwear,Outlet,11,12
2021,Apr,Missouri,Men's Apparel,In-store,40,23
2021,Apr,Missouri,Men's Apparel,Online,36,7
2021,Apr,Missouri,Men's Athletic Footwear,In-store,30,28
2021,Apr,Missouri,Men's Athletic Footwear,Online,27,7
2021,Apr,Missouri,Men's Street Footwear,In-store,35,58
2021,Apr,Missouri,Men's Street Footwear,Online,33,14
2021,Apr,Missouri,Women's Apparel,In-store,30,35
2021,Apr,Missouri,Women's Apparel,Online,28,11
2021,Apr,Missouri,Women's Athletic Footwear,In-store,25,20
2021,Apr,Missouri,Women's Athletic Footwear,Online,23,5
2021,Apr,Missouri,Women's Street Footwear,In-store,20,28
2021,Apr,Missouri,Women's Street Footwear,Online,18,8
2021,Apr,New Hampshire,Men's Apparel,In-store,60,18
2021,Apr,New Hampshire,Men's Apparel,Online,57,5
2021,Apr,New Hampshire,Men's Apparel,Outlet,40,6
2021,Apr,New Hampshire,Men's Athletic Footwear,In-store,50,25
2021,Apr,New Hampshire,Men's Athletic Footwear,Online,49,7
2021,Apr,New Hampshire,Men's Athletic Footwear,Outlet,38,9
2021,Apr,New Hampshire,Men's Street Footwear,In-store,50,55
2021,Apr,New Hampshire,Men's Street Footwear,Online,48,15
2021,Apr,New Hampshire,Men's Street Footwear,Outlet,33,19
2021,Apr,New Hampshire,Women's Apparel,In-store,50,33
2021,Apr,New Hampshire,Women's Apparel,Online,46,10
2021,Apr,New Hampshire,Women's Apparel,Outlet,33,10
2021,Apr,New Hampshire,Women's Athletic Footwear,In-store,45,18
2021,Apr,New Hampshire,Women's Athletic Footwear,Online,44,5
2021,Apr,New Hampshire,Women's Athletic Footwear,Outlet,35,5
2021,Apr,New Hampshire,Women's Street Footwear,In-store,40,25
2021,Apr,New Hampshire,Women's Street Footwear,Online,38,7
2021,Apr,New Hampshire,Women's Street Footwear,Outlet,26,8
2021,Apr,New Jersey,Men's Apparel,In-store,45,10
2021,Apr,New Jersey,Men's Apparel,Online,44,3
2021,Apr,New Jersey,Men's Athletic Footwear,In-store,35,18
2021,Apr,New Jersey,Men's Athletic Footwear,Online,33,5
2021,Apr,New Jersey,Men's Street Footwear,In-store,35,48
2021,Apr,New Jersey,Men's Street Footwear,Online,34,13
2021,Apr,New Jersey,Women's Apparel,In-store,35,25
2021,Apr,New Jersey,Women's Apparel,Online,33,7
2021,Apr,New Jersey,Women's Athletic Footwear,In-store,30,10
2021,Apr,New Jersey,Women's Athletic Footwear,Online,27,3
2021,Apr,New Jersey,Women's Street Footwear,In-store,25,18
2021,Apr,New Jersey,Women's Street Footwear,Online,24,5
2021,Apr,New Mexico,Men's Apparel,Online,116,26
2021,Apr,New Mexico,Men's Apparel,Outlet,46,6
2021,Apr,New Mexico,Men's Athletic Footwear,Online,119,45
2021,Apr,New Mexico,Men's Athletic Footwear,Outlet,43,11
2021,Apr,New Mexico,Men's Street Footwear,Online,106,70
2021,Apr,New Mexico,Men's Street Footwear,Outlet,41,17
2021,Apr,New Mexico,Women's Apparel,Online,144,48
2021,Apr,New Mexico,Women's Apparel,Outlet,56,12
2021,Apr,New Mexico,Women's Athletic Footwear,Online,109,39
2021,Apr,New Mexico,Women's Athletic Footwear,Outlet,37,10
2021,Apr,New Mexico,Women's Street Footwear,Online,115,52
2021,Apr,New Mexico,Women's Street Footwear,Outlet,44,14
2021,Apr,New York,Men's Apparel,In-store,55,48
2021,Apr,New York,Men's Apparel,Online,50,12
2021,Apr,New York,Men's Athletic Footwear,In-store,45,53
2021,Apr,New York,Men's Athletic Footwear,Online,43,15
2021,Apr,New York,Men's Street Footwear,In-store,45,83
2021,Apr,New York,Men's Street Footwear,Online,42,25
2021,Apr,New York,Women's Apparel,In-store,45,60
2021,Apr,New York,Women's Apparel,Online,41,16
2021,Apr,New York,Women's Athletic Footwear,In-store,40,45
2021,Apr,New York,Women's Athletic Footwear,Online,37,14
2021,Apr,New York,Women's Street Footwear,In-store,35,53
2021,Apr,New York,Women's Street Footwear,Online,34,15
2021,Apr,North Carolina,Men's Apparel,Online,87,66
2021,Apr,North Carolina,Men's Athletic Footwear,Online,58,74
2021,Apr,North Carolina,Men's Street Footwear,Online,57,114
2021,Apr,North Carolina,Women's Apparel,Online,67,87
2021,Apr,North Carolina,Women's Athletic Footwear,Online,49,64
2021,Apr,North Carolina,Women's Street Footwear,Online,40,72
2021,Apr,North Dakota,Men's Apparel,In-store,60,10
2021,Apr,North Dakota,Men's Apparel,Online,58,3
2021,Apr,North Dakota,Men's Athletic Footwear,Online,58,19
2021,Apr,North Dakota,Men's Street Footwear,Online,58,56
2021,Apr,North Dakota,Women's Apparel,In-store,50,23
2021,Apr,North Dakota,Women's Apparel,Online,49,7
2021,Apr,North Dakota,Women's Athletic Footwear,Online,49,10
2021,Apr,North Dakota,Women's Street Footwear,Online,39,19
2021,Apr,Ohio,Men's Apparel,Online,87,48
2021,Apr,Ohio,Men's Athletic Footwear,Online,58,54
2021,Apr,Ohio,Men's Street Footwear,Online,58,95
2021,Apr,Ohio,Women's Apparel,Online,69,67
2021,Apr,Ohio,Women's Athletic Footwear,Online,49,45
2021,Apr,Ohio,Women's Street Footwear,Online,39,54
2021,Apr,Oklahoma,Men's Apparel,Online,78,23
2021,Apr,Oklahoma,Men's Apparel,Outlet,27,5
2021,Apr,Oklahoma,Men's Athletic Footwear,Online,48,30
2021,Apr,Oklahoma,Men's Athletic Footwear,Outlet,18,8
2021,Apr,Oklahoma,Men's Street Footwear,Online,49,68
2021,Apr,Oklahoma,Men's Street Footwear,Outlet,20,18
2021,Apr,Oklahoma,Women's Apparel,Online,58,42
2021,Apr,Oklahoma,Women's Apparel,Outlet,22,11
2021,Apr,Oklahoma,Women's Athletic Footwear,Online,38,20
2021,Apr,Oklahoma,Women's Athletic Footwear,Outlet,15,5
2021,Apr,Oklahoma,Women's Street Footwear,Online,29,30
2021,Apr,Oklahoma,Women's Street Footwear,Outlet,10,7
2021,Apr,Oregon,Men's Apparel,In-store,50,13
2021,Apr,Oregon,Men's Apparel,Online,48,4
2021,Apr,Oregon,Men's Apparel,Outlet,36,4
2021,Apr,Oregon,Men's Athletic Footwear,In-store,60,28
2021,Apr,Oregon,Men's Athletic Footwear,Online,54,8
2021,Apr,Oregon,Men's Athletic Footwear,Outlet,39,9
2021,Apr,Oregon,Men's Street Footwear,In-store,55,48
2021,Apr,Oregon,Men's Street Footwear,Online,51,12
2021,Apr,Oregon,Men's Street Footwear,Outlet,44,17
2021,Apr,Oregon,Women's Apparel,In-store,65,30
2021,Apr,Oregon,Women's Apparel,Online,59,8
2021,Apr,Oregon,Women's Apparel,Outlet,49,9
2021,Apr,Oregon,Women's Athletic Footwear,In-store,45,23
2021,Apr,Oregon,Women's Athletic Footwear,Online,41,6
2021,Apr,Oregon,Women's Athletic Footwear,Outlet,34,7
2021,Apr,Oregon,Women's Street Footwear,In-store,60,33
2021,Apr,Oregon,Women's Street Footwear,Online,55,9
2021,Apr,Oregon,Women's Street Footwear,Outlet,47,11
2021,Apr,Rhode Island,Men's Apparel,In-store,45,5
2021,Apr,Rhode Island,Men's Apparel,Online,44,2
2021,Apr,Rhode Island,Men's Apparel,Outlet,33,2
2021,Apr,Rhode Island,Men's Athletic Footwear,In-store,35,13
2021,Apr,Rhode Island,Men's Athletic Footwear,Online,32,3
2021,Apr,Rhode Island,Men's Athletic Footwear,Outlet,23,4
2021,Apr,Rhode Island,Men's Street Footwear,In-store,35,43
2021,Apr,Rhode Island,Men's Street Footwear,Online,32,11
2021,Apr,Rhode Island,Men's Street Footwear,Outlet,28,13
2021,Apr,Rhode Island,Women's Apparel,In-store,35,20
2021,Apr,Rhode Island,Women's Apparel,Online,33,5
2021,Apr,Rhode Island,Women's Apparel,Outlet,26,6
2021,Apr,Rhode Island,Women's Athletic Footwear,In-store,30,5
2021,Apr,Rhode Island,Women's Athletic Footwear,Online,29,1
2021,Apr,Rhode Island,Women's Athletic Footwear,Outlet,21,2
2021,Apr,Rhode Island,Women's Street Footwear,In-store,25,13
2021,Apr,Rhode Island,Women's Street Footwear,Online,24,4
2021,Apr,Rhode Island,Women's Street Footwear,Outlet,16,4
2021,Apr,South Carolina,Men's Apparel,Online,97,82
2021,Apr,South Carolina,Men's Athletic Footwear,Online,69,86
2021,Apr,South Carolina,Men's Street Footwear,Online,68,126
2021,Apr,South Carolina,Women's Apparel,Online,79,99
2021,Apr,South Carolina,Women's Athletic Footwear,Online,57,78
2021,Apr,South Carolina,Women's Street Footwear,Online,49,86
2021,Apr,South Dakota,Men's Apparel,Online,116,13
2021,Apr,South Dakota,Men's Athletic Footwear,Online,79,19
2021,Apr,South Dakota,Men's Street Footwear,Online,78,56
2021,Apr,South Dakota,Women's Apparel,Online,98,29
2021,Apr,South Dakota,Women's Athletic Footwear,Online,69,10
2021,Apr,South Dakota,Women's Street Footwear,Online,59,20
2021,Apr,Tennessee,Men's Apparel,Online,204,64
2021,Apr,Tennessee,Men's Apparel,Outlet,366,297
2021,Apr,Tennessee,Men's Athletic Footwear,Online,209,103
2021,Apr,Tennessee,Men's Athletic Footwear,Outlet,379,499
2021,Apr,Tennessee,Men's Street Footwear,Online,176,104
2021,Apr,Tennessee,Men's Street Footwear,Outlet,328,502
2021,Apr,Tennessee,Women's Apparel,Online,216,100
2021,Apr,Tennessee,Women's Apparel,Outlet,389,508
2021,Apr,Tennessee,Women's Athletic Footwear,Online,195,70
2021,Apr,Tennessee,Women's Athletic Footwear,Outlet,363,347
2021,Apr,Tennessee,Women's Street Footwear,Online,191,108
2021,Apr,Tennessee,Women's Street Footwear,Outlet,354,509
2021,Apr,Utah,Men's Apparel,In-store,35,28
2021,Apr,Utah,Men's Apparel,Online,33,7
2021,Apr,Utah,Men's Apparel,Outlet,24,9
2021,Apr,Utah,Men's Athletic Footwear,In-store,25,33
2021,Apr,Utah,Men's Athletic Footwear,Online,25,9
2021,Apr,Utah,Men's Athletic Footwear,Outlet,20,11
2021,Apr,Utah,Men's Street Footwear,In-store,30,63
2021,Apr,Utah,Men's Street Footwear,Online,27,18
2021,Apr,Utah,Men's Street Footwear,Outlet,20,19
2021,Apr,Utah,Women's Apparel,In-store,25,40
2021,Apr,Utah,Women's Apparel,Online,24,11
2021,Apr,Utah,Women's Apparel,Outlet,20,14
2021,Apr,Utah,Women's Athletic Footwear,In-store,20,25
2021,Apr,Utah,Women's Athletic Footwear,Online,18,7
2021,Apr,Utah,Women's Athletic Footwear,Outlet,14,8
2021,Apr,Utah,Women's Street Footwear,In-store,15,33
2021,Apr,Utah,Women's Street Footwear,Online,14,10
2021,Apr,Utah,Women's Street Footwear,Outlet,10,11
2021,Apr,Vermont,Men's Apparel,In-store,55,15
2021,Apr,Vermont,Men's Apparel,Online,51,4
2021,Apr,Vermont,Men's Apparel,Outlet,41,5
2021,Apr,Vermont,Men's Athletic Footwear,In-store,45,23
2021,Apr,Vermont,Men's Athletic Footwear,Online,43,6
2021,Apr,Vermont,Men's Athletic Footwear,Outlet,35,7
2021,Apr,Vermont,Men's Street Footwear,In-store,45,53
2021,Apr,Vermont,Men's Street Footwear,Online,41,14
2021,Apr,Vermont,Men's Street Footwear,Outlet,30,17
2021,Apr,Vermont,Women's Apparel,In-store,45,30
2021,Apr,Vermont,Women's Apparel,Online,44,9
2021,Apr,Vermont,Women's Apparel,Outlet,36,9
2021,Apr,Vermont,Women's Athletic Footwear,In-store,40,15
2021,Apr,Vermont,Women's Athletic Footwear,Online,36,4
2021,Apr,Vermont,Women's Athletic Footwear,Outlet,30,5
2021,Apr,Vermont,Women's Street Footwear,In-store,35,23
2021,Apr,Vermont,Women's Street Footwear,Online,32,7
2021,Apr,Vermont,Women's Street Footwear,Outlet,25,7
2021,Apr,Virginia,Men's Apparel,In-store,50,13
2021,Apr,Virginia,Men's Apparel,Online,49,4
2021,Apr,Virginia,Men's Apparel,Outlet,40,4
2021,Apr,Virginia,Men's Athletic Footwear,In-store,60,28
2021,Apr,Virginia,Men's Athletic Footwear,Online,59,7
2021,Apr,Virginia,Men's Athletic Footwear,Outlet,44,9
2021,Apr,Virginia,Men's Street Footwear,In-store,55,48
2021,Apr,Virginia,Men's Street Footwear,Online,52,12
2021,Apr,Virginia,Men's Street Footwear,Outlet,38,15
2021,Apr,Virginia,Women's Apparel,In-store,65,30
2021,Apr,Virginia,Women's Apparel,Online,64,8
2021,Apr,Virginia,Women's Apparel,Outlet,47,9
2021,Apr,Virginia,Women's Athletic Footwear,In-store,45,23
2021,Apr,Virginia,Women's Athletic Footwear,Online,42,6
2021,Apr,Virginia,Women's Athletic Footwear,Outlet,32,7
2021,Apr,Virginia,Women's Street Footwear,In-store,60,33
2021,Apr,Virginia,Women's Street Footwear,Online,57,9
2021,Apr,Virginia,Women's Street Footwear,Outlet,41,11
2021,Apr,West Virginia,Men's Apparel,In-store,65,20
2021,Apr,West Virginia,Men's Apparel,Online,60,6
2021,Apr,West Virginia,Men's Athletic Footwear,In-store,30,25
2021,Apr,West Virginia,Men's Athletic Footwear,Online,28,8
2021,Apr,West Virginia,Men's Street Footwear,In-store,30,55
2021,Apr,West Virginia,Men's Street Footwear,Online,27,14
2021,Apr,West Virginia,Women's Apparel,In-store,50,33
2021,Apr,West Virginia,Women's Apparel,Online,47,9
2021,Apr,West Virginia,Women's Athletic Footwear,In-store,25,18
2021,Apr,West Virginia,Women's Athletic Footwear,Online,25,5
2021,Apr,West Virginia,Women's Street Footwear,In-store,20,25
2021,Apr,West Virginia,Women's Street Footwear,Online,19,7
2021,Apr,Wisconsin,Men's Apparel,In-store,60,10
2021,Apr,Wisconsin,Men's Apparel,Online,55,3
2021,Apr,Wisconsin,Men's Athletic Footwear,In-store,20,15
2021,Apr,Wisconsin,Men's Athletic Footwear,Online,20,4
2021,Apr,Wisconsin,Men's Street Footwear,In-store,20,45
2021,Apr,Wisconsin,Men's Street Footwear,Online,18,12
2021,Apr,Wisconsin,Women's Apparel,In-store,50,23
2021,Apr,Wisconsin,Women's Apparel,Online,49,6
2021,Apr,Wisconsin,Women's Athletic Footwear,In-store,15,8
2021,Apr,Wisconsin,Women's Athletic Footwear,Online,15,2
2021,Apr,Wisconsin,Women's Street Footwear,In-store,10,15
2021,Apr,Wisconsin,Women's Street Footwear,Online,9,4
2021,Apr,Wyoming,Men's Apparel,In-store,50,43
2021,Apr,Wyoming,Men's Apparel,Online,47,11
2021,Apr,Wyoming,Men's Athletic Footwear,In-store,40,50
2021,Apr,Wyoming,Men's Athletic Footwear,Online,39,14
2021,Apr,Wyoming,Men's Street Footwear,In-store,40,80
2021,Apr,Wyoming,Men's Street Footwear,Online,39,21
2021,Apr,Wyoming,Women's Apparel,In-store,40,55
2021,Apr,Wyoming,Women's Apparel,Online,36,15
2021,Apr,Wyoming,Women's Athletic Footwear,In-store,35,43
2021,Apr,Wyoming,Women's Athletic Footwear,Online,33,12
2021,Apr,Wyoming,Women's Street Footwear,In-store,30,50
2021,Apr,Wyoming,Women's Street Footwear,Online,28,15
2021,Aug,Alabama,Men's Apparel,Online,184,42
2021,Aug,Alabama,Men's Apparel,Outlet,341,202
2021,Aug,Alabama,Men's Athletic Footwear,Online,107,74
